#{"t_start": 1686424701.9019742, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
267.0,8019,2809.682842
285.0,7644,5184.83165
267.0,8019,7710.446931
232.0,160,7716.560264
139.0,8019,10272.511492
267.0,8019,12701.5635
139.0,8019,15329.496634
139.0,8019,17291.717777
139.0,8019,18868.540282
139.0,8019,20503.148061
231.0,160,20505.98929
231.0,160,20598.965789
139.0,8019,22107.499686
231.0,160,22202.940888
139.0,8019,23767.525901
231.0,160,23860.484957
139.0,8019,25426.7863
-21.0,8019,27072.499555
231.0,160,27075.356393
231.0,160,27168.696403
231.0,160,27171.531414
231.0,160,27174.383997
231.0,160,27177.317475
