#{"t_start": 1686370993.761725, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
247.0,188,5.575355
267.0,8019,987.299991
139.0,8019,1989.900346
139.0,8019,3059.477327
139.0,8019,4128.202271
139.0,8019,5136.387451
139.0,8019,6202.008122
248.0,118,6203.40209
251.0,114,6204.744245
250.0,110,6264.865399
139.0,8019,7275.756011
139.0,8019,8358.912234
139.0,8019,9375.866545
267.0,8019,10449.575575
91.0,2596,10778.621328
267.0,8019,11839.903932
267.0,8019,12921.225622
245.0,208,12923.751815
250.0,140,12925.385682
234.0,194,12988.467813
443.0,8078,13999.870554
751.0,6882,14943.143758
1187.0,3693,15405.625477
759.0,1694,15608.708075
587.0,408,15673.526771
236.0,168,15675.540936
235.0,178,15737.063996
251.0,138,15738.665443
243.0,150,15740.48505
236.0,166,15801.860703
802.0,822,15871.372841
472.0,7432,16900.966355
711.0,1200,17046.735853
215.0,208,17112.703078
237.0,188,17115.087454
211.0,276,17118.479107
224.0,210,17186.087305
231.0,220,17189.788687
215.0,256,17257.659735
223.0,226,17260.447027
225.0,218,17326.984579
236.0,180,17329.565144
250.0,154,17332.831326
585.0,868,17475.785081
241.0,156,17477.690586
1034.0,909,17616.616144
627.0,570,17687.660822
250.0,134,17689.48709
1611.0,2294,18037.387341
596.0,392,18105.723819
248.0,140,18107.493175
3014.0,2151,18386.715737
788.0,1114,18520.337067
626.0,820,18650.562179
248.0,110,18651.878715
635.0,326,18715.811829
251.0,130,18717.355204
610.0,292,18780.334332
630.0,342,18784.405607
234.0,152,18845.600634
1552.0,1306,18980.262308
248.0,122,18981.733311
248.0,116,19042.664854
607.0,344,19046.957028
611.0,352,19111.091794
621.0,306,19174.446948
1427.0,834,19244.256599
250.0,128,19245.815637
635.0,392,19311.230656
249.0,126,19312.735415
1067.0,590,19439.261816
251.0,128,19440.904113
793.0,1002,19573.364373
1186.0,622,19642.668034
249.0,138,19644.307415
636.0,346,19707.876956
249.0,126,19709.389855
616.0,416,19773.878445
1314.0,845,19903.857709
1043.0,577,19971.03313
1827.0,1194,20106.581764
1343.0,697,20236.31183
589.0,424,20241.501616
1550.0,1406,20444.330174
781.0,540,20511.914216
247.0,122,20513.406921
513.0,2438,20854.742954
250.0,120,20856.191454
583.0,1130,21058.533784
250.0,120,21060.037282
250.0,120,21061.501674
250.0,120,21063.109352
640.0,544,21132.249954
622.0,348,21197.744881
761.0,506,21264.672008
616.0,568,21332.401642
615.0,400,21398.320475
617.0,334,21463.264153
1035.0,790,21534.106893
248.0,122,21535.551694
618.0,314,21599.184802
611.0,396,21663.777219
622.0,576,21730.477147
598.0,562,21797.127523
612.0,364,21862.057673
235.0,142,21863.89357
247.0,122,21865.391517
248.0,122,21866.920816
250.0,122,21929.251863
1041.0,621,21997.178385
772.0,494,22064.017338
633.0,322,22068.173777
614.0,358,22132.790247
1031.0,6432,23005.651156
772.0,1050,23145.320818
204.0,246,23148.93272
546.0,1496,23355.986846
1196.0,3103,23769.102982
768.0,1504,23973.039228
197.0,226,24037.536027
1272.0,1619,24245.750268
207.0,230,24249.002156
602.0,512,24317.947368
240.0,156,24381.595134
692.0,1964,24590.784225
226.0,194,24655.428882
364.0,4652,25266.182496
445.0,3726,25738.878616
797.0,932,25871.549608
755.0,656,25939.571653
626.0,342,26002.705983
703.0,2806,26333.808835
706.0,776,26463.197172
725.0,1294,26598.851588
975.0,2078,26864.510915
139.0,8019,27947.643657
139.0,8019,29048.629474
190.0,464,29116.766291
161.0,382,29121.349531
229.0,192,29186.340304
215.0,236,29189.145521
211.0,274,29254.373742
-21.0,8019,30355.161422
-21.0,8019,31396.139287
119.0,382,31464.255537
-21.0,8019,32579.619735
74.0,762,32652.931193
-21.0,8019,33767.039445
-21.0,8019,34814.818645
-21.0,8019,35918.30443
806.0,754,36050.249734
267.0,8019,37070.606772
451.0,5816,37885.775775
267.0,8019,38907.352956
788.0,1100,39047.292464
443.0,8019,40142.336494
267.0,8078,41246.589595
139.0,8019,42284.92807
139.0,8019,43396.167734
260.0,7790,44445.495995
248.0,166,44512.853079
139.0,8019,45559.922638
248.0,122,45625.387497
248.0,128,45626.944071
576.0,890,45760.099436
267.0,8019,46800.401248
248.0,120,46801.848583
267.0,8019,47913.061635
612.0,336,47980.484595
250.0,108,47981.760101
250.0,108,47983.047054
627.0,378,48049.150638
608.0,352,48114.443899
750.0,1874,48321.565783
639.0,294,48386.635832
249.0,112,48387.980078
654.0,278,48453.019538
582.0,374,48457.513005
249.0,112,48520.090137
610.0,330,48524.025869
793.0,1014,48659.855231
575.0,718,48792.281364
252.0,108,48793.59036
1290.0,1686,48998.496636
639.0,564,49066.976946
1407.0,1140,49204.133035
242.0,130,49267.359447
626.0,828,49339.462916
610.0,592,49407.317224
617.0,366,49472.73145
249.0,118,49474.243627
621.0,304,49539.735178
246.0,124,49541.216841
814.0,588,49610.315072
611.0,342,49675.757306
1195.0,3395,50149.528221
443.0,8019,51220.201465
248.0,120,51286.88815
248.0,114,51288.283219
252.0,112,51289.782851
250.0,112,51291.207773
252.0,114,51292.57225
267.0,8019,52426.461254
252.0,112,52427.836931
252.0,106,52493.277211
516.0,1776,52707.533565
